seed,ey0,epsi0,controller,rmse_ey,max_abs_ey,mean_abs_delta,final_ey
1,-0.4,-0.1,PID,0.06383333295341505,0.5,0.00558109484668319,-5.5458504392961343e-14
1,-0.4,-0.1,MPC,0.06182845343457202,0.5124999527656274,0.0032413097984732536,7.546344406460944e-36
1,-0.4,-0.1,SAC,0.04206772236163692,0.47500000000000003,0.006215600296854973,0.0030527026986376824
1,-0.4,-0.1,Hybrid,0.04296186347676481,0.47500000000000003,0.005985908003673388,0.0029790245777276615
1,-0.4,-0.05,PID,0.05220512093230167,0.4375,0.004376155282003002,-4.09486954581406e-14
1,-0.4,-0.05,MPC,0.05016267282679437,0.4375,0.002343748160387159,-3.411897151513105e-36
1,-0.4,-0.05,SAC,0.03416004090003715,0.4375,0.0051633061468601225,0.003052720882351388
1,-0.4,-0.05,Hybrid,0.03476507007861221,0.4375,0.004995747228236903,0.002979028331376687
1,-0.4,0.0,PID,0.04200967304287697,0.4,0.003392045640446209,-2.6438886523319953e-14
1,-0.4,0.0,MPC,0.03907321023329677,0.4,0.0015862928202104274,-1.4370178400389757e-35
1,-0.4,0.0,SAC,0.028067829054550367,0.4,0.0039825675264000895,0.0030527164598576958
1,-0.4,0.0,Hybrid,0.02844320532481973,0.4,0.003940335120288015,0.0029790250925887086
1,-0.4,0.05,PID,0.034539952645901116,0.36250000000000004,0.002823619977680128,-1.1929077588499195e-14
1,-0.4,0.05,MPC,0.03129260226410959,0.36250000000000004,0.001049677856987652,-2.045510786610153e-35
1,-0.4,0.05,SAC,0.023141486078357476,0.36250000000000004,0.003133564852178097,0.003052725460949467
1,-0.4,0.05,Hybrid,0.023403972223915086,0.36250000000000004,0.0030896919395647683,0.002979039564919222
1,-0.4,0.1,PID,0.03177989538043263,0.325,0.002903620140344803,2.5807313463215978e-15
1,-0.4,0.1,MPC,0.024628061711558454,0.325,0.0011667094023986256,-2.633421229798552e-35
1,-0.4,0.1,SAC,0.01947101810054128,0.325,0.003005557470023632,0.003052717474375699
1,-0.4,0.1,Hybrid,0.01967697631466528,0.325,0.002865702512558037,0.002979025041754396
1,-0.2,-0.1,PID,0.044552236337549886,0.33412433333333336,0.0041217854352155105,-4.223906113130142e-14
1,-0.2,-0.1,MPC,0.04020411656591359,0.31856375789451535,0.0024714503494810574,1.0367287577910185e-35
1,-0.2,-0.1,SAC,0.02261338419294228,0.275,0.004274647310376167,0.003052715693679872
1,-0.2,-0.1,Hybrid,0.023249677295228702,0.275,0.004156738116441876,0.00297904161284025
1,-0.2,-0.05,PID,0.031916666476707524,0.25,0.002790547423341595,-2.7729252196480672e-14
1,-0.2,-0.05,MPC,0.028301017742442768,0.23750000000000002,0.0015534282260654157,-5.9100139695582896e-37
1,-0.2,-0.05,SAC,0.01693544469029994,0.23750000000000002,0.0032152158766984937,0.0030527124740300934
1,-0.2,-0.05,Hybrid,0.017257475587328916,0.23750000000000002,0.0031716549251618095,0.002979030815468434
1,-0.2,0.0,PID,0.021004836521438485,0.2,0.0016960228202231044,-1.3219443261659977e-14
1,-0.2,0.0,MPC,0.019483198714837256,0.2,0.0007940631303824236,-7.288001717107604e-36
1,-0.2,0.0,SAC,0.013362545257119872,0.2,0.0020886871218681337,0.0030527129667006474
1,-0.2,0.0,Hybrid,0.013589735542724232,0.2,0.0019961379493576895,0.0029790282575648634
1,-0.2,0.05,PID,0.015889947690216316,0.1625,0.0014518100701724015,1.2903656731607989e-15
1,-0.2,0.05,MPC,0.012314030855779227,0.1625,0.0005833547011993128,-1.316710614899276e-35
1,-0.2,0.05,SAC,0.010219409728392102,0.1625,0.0016426821053028107,0.0030527151176080133
1,-0.2,0.05,Hybrid,0.010327722324583042,0.1625,0.0015543908641777052,0.002979026323504842
1,-0.2,0.1,PID,0.021272880385640073,0.1511594870013317,0.0024269090027348146,1.5800174607981502e-14
1,-0.2,0.1,MPC,0.009494383553896032,0.125,0.0012725044852196369,-1.9046210580877745e-35
1,-0.2,0.1,SAC,0.007523416585972696,0.125,0.001587994061410427,0.0030527137541184785
